cell,expt,isi,n_pulses,pulse_width,rep,spikes,type
11,pinp,100,10,10,5,1467.20000000641,train
11,pinp,100,10,10,5,1522.40000000666,train
11,pinp,100,10,10,6,-476.266666661104,train
11,pinp,100,10,10,6,-429.833333327679,train
11,pinp,100,10,10,6,-427.199999994173,train
11,pinp,100,10,10,7,1249.06666667266,train
11,pinp,100,10,10,9,-365.333333324543,train
11,pinp,100,10,10,9,406.366666675694,train
11,pinp,100,10,10,10,705.666666668549,train
11,pinp,100,10,10,11,177.933333343844,train
11,pinp,100,10,10,12,-214.366666662045,train
11,pinp,100,10,10,12,-72.0666666620673,train
11,pinp,100,10,10,13,1418.46666666424,train
11,pinp,100,10,10,15,781.233333332693,train
11,pinp,100,10,10,16,-460.499999991043,train
11,pinp,100,10,10,16,-392.533333324081,train
11,pinp,100,10,10,16,-199.333333324375,train
11,pinp,100,10,10,16,-186.599999990904,train
11,pinp,100,10,10,16,-147.399999991194,train
11,pinp,100,10,10,16,-133.866666657468,train
11,pinp,100,10,10,16,-132.099999991169,train
11,pinp,100,10,10,16,-120.39999999115,train
11,pinp,100,10,10,16,-104.16666665742,train
11,pinp,100,10,10,16,-95.0333333244089,train
11,pinp,100,10,10,16,-93.6333333243056,train
11,pinp,100,10,10,16,-74.8333333244773,train
11,pinp,100,10,10,20,109.233333333123,train
11,pinp,100,10,10,20,806.39999999994,train
11,pinp,100,10,10,21,1024.46666667311,train
11,pinp,100,10,10,21,1209.70000000625,train
11,pinp,100,10,10,21,1216.73333334002,train
11,pinp,100,10,10,22,-398.966666664819,train
11,pinp,100,10,10,22,-389.933333331555,train
11,pinp,100,10,10,22,-190.79999999849,train
11,pinp,100,10,10,22,6.16666666837773,train
11,pinp,100,10,10,22,1344.13333333487,train
11,pinp,100,10,10,22,1472.86666666832,train
11,pinp,100,10,10,22,1485.0333333352,train
11,pinp,100,10,10,22,1542.00000000174,train
11,pinp,100,10,10,23,-290.53333332422,train
11,pinp,100,10,10,23,1419.40000000932,train
11,pinp,100,10,10,23,1457.20000000938,train
11,pinp,100,10,10,24,1417.90000000356,train
11,pinp,100,10,10,25,1643.06666666926,train
11,pinp,100,10,10,26,-328.366666668899,train
11,pinp,100,10,10,27,-89.5333333278359,train
11,pinp,100,10,10,28,702.933333331657,train
11,pinp,100,10,10,28,1577.86666666516,train
11,pinp,100,10,10,28,1600.5333333319,train
11,pinp,100,10,10,29,400.966666675686,train
11,pinp,100,10,10,29,462.933333342335,train
11,pinp,100,10,10,29,995.066666675939,train
11,pinp,100,10,10,29,1055.20000000934,train
11,pinp,100,10,10,29,1563.13333334265,train
11,pinp,100,10,10,29,1577.00000000932,train
11,pinp,100,10,10,29,1590.33333334264,train
11,pinp,100,10,10,29,1603.66666667596,train
11,pinp,100,10,10,30,-49.3666666643549,train
11,pinp,100,10,10,31,-208.233333336011,train
11,pinp,100,10,10,33,-325.600000001941,train
11,pinp,100,10,10,33,385.699999997996,train
11,pinp,100,10,10,33,598.166666664838,train
11,pinp,100,10,10,35,1587.43333334132,train
11,pinp,100,10,10,36,505.400000000009,train
11,pinp,100,10,10,37,-422.766666657026,train
11,pinp,100,10,10,38,-256.433333329369,train
11,pinp,100,10,10,38,-10.5666666627258,train
11,pinp,100,10,10,38,1180.63333333703,train
11,pinp,100,10,10,39,-431.099999989783,train
11,pinp,100,10,10,39,-126.666666656092,train
11,pinp,100,10,10,39,-122.299999989536,train
11,pinp,100,10,10,39,608.966666677134,train
11,pinp,100,10,10,39,1048.16666667693,train
