spikes,icis,rep
2267.83333333346,2,5
2688.53333333347,2,5
2772.5666666668,2,5
2886.13333333348,2,5
2920.50000000015,2,5
-995.5,4,5
-971.533333333326,4,5
-915.100000000006,4,5
-831.066666666651,4,5
-809.466666666645,4,5
-400.133333333302,4,5
-387.099999999977,4,5
-374.533333333326,4,5
-361,4,5
-357.833333333314,4,5
-318.066666666651,4,5
-106.699999999983,4,5
-104.93333333332,4,5
2039.10000000001,4,5
2121.3666666667,4,5
2159.70000000001,4,5
2321.8666666667,4,5
2335.13333333333,4,5
2342.53333333335,4,5
2412.93333333335,4,5
2423.8666666667,4,5
2427.00000000003,4,5
2433.36666666667,4,5
2487.43333333335,4,5
2507.16666666669,4,5
2743.23333333337,4,5
2954.76666666666,4,5
2977.26666666669,4,5
2980.46666666667,4,5
2992.16666666669,4,5
-665.699999999895,8,5
-629.066666666564,8,5
-376.066666666549,8,5
-288.266666666561,8,5
-229.16666666657,8,5
401.400000000111,8,5
1658.56666666677,8,5
2361.86666666679,8,5
2371.50000000009,8,5
2500.56666666677,8,5
-988.033333333355,16,5
-949.700000000041,16,5
-787.533333333355,16,5
-774.266666666721,16,5
-766.866666666698,16,5
-696.466666666704,16,5
-685.533333333355,16,5
-682.400000000023,16,5
-676.033333333384,16,5
-621.966666666704,16,5
-602.233333333366,16,5
-366.166666666686,16,5
-154.63333333339,16,5
-132.13333333336,16,5
-128.933333333378,16,5
-117.233333333366,16,5
-82.9333333333489,16,5
1255.06666666662,16,5
1732.29999999999,16,5
1800.66666666663,16,5
1860.93333333329,16,5
2061.76666666663,16,5
2230.96666666662,16,5
-975.833333333416,32,5
-633.933333333422,32,5
-614.100000000079,32,5
-141.033333333413,32,5
-74.3666666667414,32,5
-68.0000000000873,32,5
-17.23333333341,32,5
-13.6333333334187,32,5
92.0666666665784,32,5
195.866666666581,32,5
1275.93333333326,32,5
1359.93333333326,32,5
1370.86666666658,32,5
1661.39999999994,32,5
1977.66666666658,32,5
2007.19999999992,32,5
2053.4666666666,32,5
2096.33333333327,32,5
2443.69999999992,32,5
2480.33333333326,32,5
2733.33333333327,32,5
2821.13333333326,32,5
2880.23333333325,32,5
-883.73333333325,64,5
25.4333333334362,64,5
47.9666666667617,64,5
277.033333333413,64,5
831.300000000105,64,5
1911.83333333343,64,5
2142.00000000009,64,5
2196.43333333341,64,5
2290.16666666677,64,5
2817.2000000001,64,5
2884.46666666676,64,5
-281.66666666657,128,5
320.100000000108,128,5
392.266666666765,128,5
525.200000000099,128,5
1078.5000000001,128,5
1357.86666666677,128,5
1573.96666666678,128,5
1615.73333333344,128,5
1723.63333333343,128,5
2128.2000000001,128,5
2470.10000000009,128,5
2489.93333333344,128,5
2963.0000000001,128,5
-948.133333333375,256,5
-876.233333333381,256,5
-785.233333333366,256,5
-490.13333333339,256,5
-404.666666666701,256,5
-317.433333333378,256,5
8.16666666661331,256,5
160.933333333276,256,5
229.899999999951,256,5
264.366666666625,256,5
775.633333333288,256,5
819.399999999951,256,5
890.899999999951,256,5
1311.99999999994,256,5
1348.79999999994,256,5
1554.53333333328,256,5
1569.63333333329,256,5
1658.99999999996,256,5
2833.03333333328,256,5
-934.866666666552,1,6
-849.633333333215,1,6
-812.066666666535,1,6
-639.166666666541,1,6
-485.933333333203,1,6
-433.566666666535,1,6
-221.899999999878,1,6
-145.599999999889,1,6
26.1333333334478,1,6
37.2666666667792,1,6
111.400000000111,1,6
292.766666666779,1,6
2212.76666666678,1,6
2298.8000000001,1,6
2312.26666666681,1,6
2408.43333333344,1,6
2642.93333333344,1,6
2719.46666666679,1,6
2747.86666666679,1,6
-978.033333333267,2,6
-923.599999999948,2,6
-829.866666666581,2,6
-302.833333333256,2,6
-235.566666666593,2,6
-117.066666666593,2,6
-111.633333333244,2,6
832.466666666733,2,6
991.300000000076,2,6
1522.33333333343,2,6
1577.93333333341,2,6
2185.20000000007,2,6
2270.43333333341,2,6
2308.00000000009,2,6
2480.90000000008,2,6
2634.13333333342,2,6
2686.50000000009,2,6
2898.16666666674,2,6
2974.46666666673,2,6
-924.999999999971,4,6
-796.833333333285,4,6
-630.933333333291,4,6
-580.033333333267,4,6
-509.499999999942,4,6
-267.533333333267,4,6
-212.299999999959,4,6
-24.4666666666162,4,6
543.900000000052,4,6
1852.83333333337,4,6
2029.60000000003,4,6
2836.23333333337,4,6
-273.133333333419,8,6
-107.100000000093,8,6
-100.63333333339,8,6
24.6333333332732,8,6
1081.09999999995,8,6
2157.6666666666,8,6
2199.69999999992,8,6
2233.33333333328,8,6
2263.39999999994,8,6
2288.86666666661,8,6
2307.39999999994,8,6
2544.49999999991,8,6
2593.26666666658,8,6
2973.63333333327,8,6
-907.266666666575,16,6
-821.23333333325,16,6
-807.766666666546,16,6
-711.599999999919,16,6
-477.099999999919,16,6
-400.566666666564,16,6
-372.16666666657,16,6
345.566666666768,16,6
1417.00000000009,16,6
1751.06666666677,16,6
1912.53333333341,16,6
2032.66666666677,16,6
2071.73333333342,16,6
2096.86666666676,16,6
2195.03333333341,16,6
2323.2000000001,16,6
2489.10000000009,16,6
2540.00000000012,16,6
2610.53333333344,16,6
2852.50000000012,16,6
2907.73333333342,16,6
-810.099999999919,32,6
-796.899999999936,32,6
-388.033333333267,32,6
-334.533333333267,32,6
-54.7666666666046,32,6
414.966666666733,32,6
469.033333333384,32,6
1094.60000000006,32,6
1099.20000000004,32,6
1385.70000000007,32,6
1420.7333333334,32,6
1609.60000000006,32,6
1769.86666666673,32,6
1771.50000000006,32,6
2340.20000000007,32,6
2539.33333333337,32,6
2606.00000000009,32,6
-962.400000000023,64,6
-920.366666666698,64,6
-886.733333333337,64,6
-856.666666666686,64,6
-831.200000000012,64,6
-812.666666666686,64,6
-575.566666666709,64,6
-526.800000000047,64,6
-146.433333333349,64,6
121.399999999965,64,6
1125.19999999998,64,6
1357.29999999999,64,6
2007.16666666666,64,6
2057.19999999998,64,6
2299.26666666666,64,6
2312.46666666665,64,6
2721.33333333331,64,6
2774.83333333331,64,6
-769.166666666715,128,6
-570.033333333413,128,6
-503.366666666698,128,6
111.666666666599,128,6
120.333333333285,128,6
203.533333333267,128,6
224.933333333291,128,6
