amps,cell,dur,expt,freqs,rep,spikes
70,1,25,tuning_curve,2000,11,90.4666666741605
70,1,25,tuning_curve,4000,11,-62.1666666710894
70,1,25,tuning_curve,5656.85,11,26.666666671133
70,1,25,tuning_curve,8000,11,-19.6666666572582
70,1,25,tuning_curve,16000,11,14.1000000029408
70,1,25,tuning_curve,22627.4,11,10.4666666670141
70,1,25,tuning_curve,64000,11,69.7666666746954
40,1,25,tuning_curve,-1,12,87.9000000026053
40,1,25,tuning_curve,1414.21,12,11.5000000029681
40,1,25,tuning_curve,1414.21,12,23.1000000030122
40,1,25,tuning_curve,2828.43,12,97.4333333336403
40,1,25,tuning_curve,4000,12,-89.1666666668698
55,1,25,tuning_curve,2828.43,12,29.8000000061052
55,1,25,tuning_curve,22627.4,12,-82.433333328936
55,1,25,tuning_curve,22627.4,12,74.8666666710278
55,1,25,tuning_curve,32000,12,76.6999999983113
70,1,25,tuning_curve,-1,12,25.9666666725025
70,1,25,tuning_curve,-1,12,31.0000000058039
70,1,25,tuning_curve,1000,12,10.4666666694584
70,1,25,tuning_curve,1000,12,20.6333333361499
70,1,25,tuning_curve,2000,12,-44.6666666624651
70,1,25,tuning_curve,2000,12,-31.0999999958312
70,1,25,tuning_curve,4000,12,63.6666666673591
70,1,25,tuning_curve,8000,12,22.3333333294704
70,1,25,tuning_curve,8000,12,85.6333333294401
70,1,25,tuning_curve,11313.7,12,0.533333333123664
70,1,25,tuning_curve,16000,12,52.3666666736631
70,1,25,tuning_curve,22627.4,12,-69.9333333276968
70,1,25,tuning_curve,22627.4,12,-14.4999999943707
70,1,25,tuning_curve,32000,12,-53.1666666689148
70,1,25,tuning_curve,32000,12,56.9666666644366
70,1,25,tuning_curve,64000,12,74.9999999957822
40,1,25,tuning_curve,2000,13,71.8666666671197
40,1,25,tuning_curve,4000,13,25.7000000087828
40,1,25,tuning_curve,5656.85,13,18.4000000051583
55,1,25,tuning_curve,1414.21,13,-30.1666666613301
55,1,25,tuning_curve,1414.21,13,-16.5999999946962
55,1,25,tuning_curve,1414.21,13,40.0000000053069
55,1,25,tuning_curve,1414.21,13,61.1333333386597
55,1,25,tuning_curve,22627.4,13,43.333333339092
55,1,25,tuning_curve,32000,13,71.399999998448
55,1,25,tuning_curve,45254.8,13,-43.6666666709016
55,1,25,tuning_curve,45254.8,13,-33.1000000042536
55,1,25,tuning_curve,45254.8,13,-20.3666666709523
70,1,25,tuning_curve,-1,13,34.0000000018108
70,1,25,tuning_curve,-1,13,40.7333333351403
70,1,25,tuning_curve,2000,13,-54.3999999913467
70,1,25,tuning_curve,5656.85,13,-51.6333333239345
70,1,25,tuning_curve,5656.85,13,-39.0333333239141
70,1,25,tuning_curve,5656.85,13,-23.8333333238643
70,1,25,tuning_curve,5656.85,13,12.4666666761186
70,1,25,tuning_curve,8000,13,-39.8666666568488
70,1,25,tuning_curve,11313.7,13,45.0666666671964
40,1,25,tuning_curve,-1,14,20.1666666713436
40,1,25,tuning_curve,1414.21,14,-81.0000000011541
40,1,25,tuning_curve,1414.21,14,-11.6000000011809
40,1,25,tuning_curve,1414.21,14,97.3333333321307
40,1,25,tuning_curve,2000,14,56.0333333382914
40,1,25,tuning_curve,2828.43,14,-29.9000000044316
40,1,25,tuning_curve,4000,14,60.3666666652316
55,1,25,tuning_curve,-1,14,-68.0333333309591
55,1,25,tuning_curve,2000,14,-88.6333333248217
55,1,25,tuning_curve,2828.43,14,-31.4333333243439
55,1,25,tuning_curve,8000,14,-58.4666666605926
55,1,25,tuning_curve,22627.4,14,-30.0999999980149
55,1,25,tuning_curve,22627.4,14,4.96666666867895
55,1,25,tuning_curve,64000,14,-19.29999999129
55,1,25,tuning_curve,64000,14,57.900000008658
70,1,25,tuning_curve,-1,14,-75.7999999938761
70,1,25,tuning_curve,-1,14,20.6000000061408
70,1,25,tuning_curve,-1,14,26.3333333394939
70,1,25,tuning_curve,1000,14,77.766666670982
70,1,25,tuning_curve,1414.21,14,96.3999999979706
70,1,25,tuning_curve,2000,14,-8.63333333791161
70,1,25,tuning_curve,11313.7,14,48.3666666683575
70,1,25,tuning_curve,16000,14,-96.066666670481
40,1,25,tuning_curve,1000,15,58.2666666635987
40,1,25,tuning_curve,2000,15,-49.5333333378767
40,1,25,tuning_curve,2000,15,-25.7666666711884
40,1,25,tuning_curve,2000,15,9.63333332879301
40,1,25,tuning_curve,11313.7,15,-99.333333331856
40,1,25,tuning_curve,45254.8,15,-32.8333333313822
40,1,25,tuning_curve,64000,15,78.200000007655
55,1,25,tuning_curve,1000,15,81.5999999967971
55,1,25,tuning_curve,2000,15,71.3666666700874
55,1,25,tuning_curve,16000,15,20.4666666651292
55,1,25,tuning_curve,45254.8,15,-68.333333335886
70,1,25,tuning_curve,-1,15,25.5000000094014
70,1,25,tuning_curve,-1,15,29.8000000094589
70,1,25,tuning_curve,-1,15,36.0000000093805
70,1,25,tuning_curve,1414.21,15,-67.2666666682744
70,1,25,tuning_curve,2000,15,98.0666666658863
70,1,25,tuning_curve,2828.43,15,-24.0666666653624
70,1,25,tuning_curve,11313.7,15,-96.9666666712783
70,1,25,tuning_curve,32000,15,7.26666666878373
70,1,25,tuning_curve,45254.8,15,-11.1666666620067
40,1,25,tuning_curve,2000,16,-74.7666666708255
40,1,25,tuning_curve,2000,16,-59.4333333374379
55,1,25,tuning_curve,4000,16,-62.5333333354092
55,1,25,tuning_curve,4000,16,23.26666666454
55,1,25,tuning_curve,22627.4,16,77.2000000031312
55,1,25,tuning_curve,32000,16,82.2666666715577
70,1,25,tuning_curve,-1,16,-17.3666666642021
70,1,25,tuning_curve,-1,16,29.1333333358352
70,1,25,tuning_curve,-1,16,34.2666666691684
70,1,25,tuning_curve,2000,16,-47.733333324004
