cell,expt,isi,n_pulses,pulse_width,rep,spikes,type
1,pinp,NaN,NaN,20,38,100.499999999997,pulse
1,pinp,NaN,NaN,20,38,283.733333333331,pulse
1,pinp,NaN,NaN,20,38,799.033333333327,pulse
1,pinp,NaN,NaN,20,38,1175.59999999999,pulse
1,pinp,NaN,NaN,20,38,1567.76666666666,pulse
1,pinp,NaN,NaN,20,38,1631.63333333333,pulse
1,pinp,NaN,NaN,20,38,1730.16666666666,pulse
1,pinp,NaN,NaN,20,39,-560.533333333325,pulse
1,pinp,NaN,NaN,20,39,-461.999999999989,pulse
1,pinp,NaN,NaN,20,39,-369.233333333327,pulse
1,pinp,NaN,NaN,20,39,84.2666666666787,pulse
1,pinp,NaN,NaN,20,39,225.26666666667,pulse
1,pinp,NaN,NaN,20,39,548.566666666673,pulse
1,pinp,NaN,NaN,20,39,791.200000000003,pulse
1,pinp,NaN,NaN,20,39,1513.03333333334,pulse
1,pinp,NaN,NaN,20,39,1521.26666666668,pulse
1,pinp,NaN,NaN,20,39,1733.16666666668,pulse
1,pinp,NaN,NaN,20,40,-464.100000000002,pulse
1,pinp,NaN,NaN,20,40,-395.800000000008,pulse
1,pinp,NaN,NaN,20,40,619.099999999989,pulse
1,pinp,NaN,NaN,20,40,747.500000000002,pulse
1,pinp,NaN,NaN,20,40,804.099999999991,pulse
1,pinp,NaN,NaN,20,40,1002.63333333334,pulse
1,pinp,NaN,NaN,20,40,1202.16666666666,pulse
1,pinp,NaN,NaN,20,40,1526.1,pulse
1,pinp,NaN,NaN,20,41,208.166666666656,pulse
1,pinp,NaN,NaN,20,41,531.966666666662,pulse
1,pinp,NaN,NaN,20,41,1683.83333333333,pulse
1,pinp,NaN,NaN,20,42,-524.133333333339,pulse
1,pinp,NaN,NaN,20,42,-85.4666666666759,pulse
1,pinp,NaN,NaN,20,42,140.633333333327,pulse
1,pinp,NaN,NaN,20,42,1391.06666666666,pulse
1,pinp,NaN,NaN,20,42,1421.79999999999,pulse
1,pinp,NaN,NaN,20,42,1424.93333333333,pulse
1,pinp,NaN,NaN,20,42,1673.83333333332,pulse
1,pinp,NaN,NaN,20,42,1681.29999999999,pulse
1,pinp,NaN,NaN,20,43,-528.800000000004,pulse
1,pinp,NaN,NaN,20,43,-521.333333333331,pulse
1,pinp,NaN,NaN,20,43,-185.233333333329,pulse
1,pinp,NaN,NaN,20,43,317.400000000006,pulse
