spikes,type,rep,pulse_width,isi,n_pulses,expt,cell
1621.39999999999,pulse,30,20,NaN,NaN,pinp,1
-559.866666666665,pulse,31,20,NaN,NaN,pinp,1
-192.266666666654,pulse,31,20,NaN,NaN,pinp,1
-176.999999999992,pulse,31,20,NaN,NaN,pinp,1
80.2333333333394,pulse,31,20,NaN,NaN,pinp,1
100.866666666676,pulse,31,20,NaN,NaN,pinp,1
400.333333333336,pulse,31,20,NaN,NaN,pinp,1
439.700000000002,pulse,31,20,NaN,NaN,pinp,1
601.866666666666,pulse,31,20,NaN,NaN,pinp,1
634.833333333333,pulse,31,20,NaN,NaN,pinp,1
657.600000000002,pulse,31,20,NaN,NaN,pinp,1
898.833333333343,pulse,31,20,NaN,NaN,pinp,1
1225.13333333333,pulse,31,20,NaN,NaN,pinp,1
1358.96666666667,pulse,31,20,NaN,NaN,pinp,1
1415.46666666667,pulse,31,20,NaN,NaN,pinp,1
-377.800000000008,pulse,32,20,NaN,NaN,pinp,1
-348.733333333342,pulse,32,20,NaN,NaN,pinp,1
-291.766666666675,pulse,32,20,NaN,NaN,pinp,1
-86.0000000000127,pulse,32,20,NaN,NaN,pinp,1
-53.9333333333332,pulse,32,20,NaN,NaN,pinp,1
185.966666666658,pulse,32,20,NaN,NaN,pinp,1
506.133333333324,pulse,32,20,NaN,NaN,pinp,1
932.699999999997,pulse,32,20,NaN,NaN,pinp,1
946.766666666662,pulse,32,20,NaN,NaN,pinp,1
957.899999999995,pulse,32,20,NaN,NaN,pinp,1
1171.66666666667,pulse,32,20,NaN,NaN,pinp,1
1200.86666666666,pulse,32,20,NaN,NaN,pinp,1
1261.46666666666,pulse,32,20,NaN,NaN,pinp,1
1575.7,pulse,32,20,NaN,NaN,pinp,1
889.266666666657,pulse,33,20,NaN,NaN,pinp,1
927.233333333334,pulse,33,20,NaN,NaN,pinp,1
-282.166666666669,pulse,34,20,NaN,NaN,pinp,1
-128.766666666664,pulse,34,20,NaN,NaN,pinp,1
203.033333333337,pulse,34,20,NaN,NaN,pinp,1
235.866666666666,pulse,34,20,NaN,NaN,pinp,1
298.966666666672,pulse,34,20,NaN,NaN,pinp,1
765.766666666664,pulse,34,20,NaN,NaN,pinp,1
1093.53333333334,pulse,34,20,NaN,NaN,pinp,1
1706.3,pulse,34,20,NaN,NaN,pinp,1
1736.7,pulse,34,20,NaN,NaN,pinp,1
-512.366666666679,pulse,35,20,NaN,NaN,pinp,1
-481.966666666679,pulse,35,20,NaN,NaN,pinp,1
584.699999999998,pulse,35,20,NaN,NaN,pinp,1
636.999999999986,pulse,35,20,NaN,NaN,pinp,1
838.499999999996,pulse,35,20,NaN,NaN,pinp,1
871.799999999993,pulse,35,20,NaN,NaN,pinp,1
1542.13333333333,pulse,35,20,NaN,NaN,pinp,1
1573.16666666667,pulse,35,20,NaN,NaN,pinp,1
1581.63333333333,pulse,35,20,NaN,NaN,pinp,1
1588.43333333333,pulse,35,20,NaN,NaN,pinp,1
1626.66666666667,pulse,35,20,NaN,NaN,pinp,1
1629.89999999999,pulse,35,20,NaN,NaN,pinp,1
-599.833333333336,pulse,36,20,NaN,NaN,pinp,1
-593.033333333338,pulse,36,20,NaN,NaN,pinp,1
-554.8,pulse,36,20,NaN,NaN,pinp,1
-551.566666666673,pulse,36,20,NaN,NaN,pinp,1
-335.266666666669,pulse,36,20,NaN,NaN,pinp,1
-273.400000000009,pulse,36,20,NaN,NaN,pinp,1
-95.7000000000079,pulse,36,20,NaN,NaN,pinp,1
-66.0666666666714,pulse,36,20,NaN,NaN,pinp,1
0.666666666660376,pulse,36,20,NaN,NaN,pinp,1
257.966666666661,pulse,36,20,NaN,NaN,pinp,1
840.799999999987,pulse,36,20,NaN,NaN,pinp,1
1323.1,pulse,36,20,NaN,NaN,pinp,1
1449.13333333332,pulse,36,20,NaN,NaN,pinp,1
-288.399999999996,pulse,37,20,NaN,NaN,pinp,1
-196.866666666665,pulse,37,20,NaN,NaN,pinp,1
-119.166666666658,pulse,37,20,NaN,NaN,pinp,1
686.666666666667,pulse,37,20,NaN,NaN,pinp,1
711.533333333335,pulse,37,20,NaN,NaN,pinp,1
842.066666666668,pulse,37,20,NaN,NaN,pinp,1
846.600000000009,pulse,37,20,NaN,NaN,pinp,1
1116.8,pulse,37,20,NaN,NaN,pinp,1
1206.06666666667,pulse,37,20,NaN,NaN,pinp,1
1207.26666666667,pulse,37,20,NaN,NaN,pinp,1
1347.03333333334,pulse,37,20,NaN,NaN,pinp,1
-90.8666666666704,pulse,38,20,NaN,NaN,pinp,1
-61.9333333333429,pulse,38,20,NaN,NaN,pinp,1
100.499999999997,pulse,38,20,NaN,NaN,pinp,1
283.733333333331,pulse,38,20,NaN,NaN,pinp,1
799.033333333327,pulse,38,20,NaN,NaN,pinp,1
1175.59999999999,pulse,38,20,NaN,NaN,pinp,1
1567.76666666666,pulse,38,20,NaN,NaN,pinp,1
1631.63333333333,pulse,38,20,NaN,NaN,pinp,1
1730.16666666666,pulse,38,20,NaN,NaN,pinp,1
-560.533333333325,pulse,39,20,NaN,NaN,pinp,1
-461.999999999989,pulse,39,20,NaN,NaN,pinp,1
-369.233333333327,pulse,39,20,NaN,NaN,pinp,1
84.2666666666787,pulse,39,20,NaN,NaN,pinp,1
225.26666666667,pulse,39,20,NaN,NaN,pinp,1
548.566666666673,pulse,39,20,NaN,NaN,pinp,1
791.200000000003,pulse,39,20,NaN,NaN,pinp,1
1513.03333333334,pulse,39,20,NaN,NaN,pinp,1
1521.26666666668,pulse,39,20,NaN,NaN,pinp,1
1733.16666666668,pulse,39,20,NaN,NaN,pinp,1
-464.100000000002,pulse,40,20,NaN,NaN,pinp,1
-395.800000000008,pulse,40,20,NaN,NaN,pinp,1
619.099999999989,pulse,40,20,NaN,NaN,pinp,1
747.500000000002,pulse,40,20,NaN,NaN,pinp,1
804.099999999991,pulse,40,20,NaN,NaN,pinp,1
1002.63333333334,pulse,40,20,NaN,NaN,pinp,1
1202.16666666666,pulse,40,20,NaN,NaN,pinp,1
1526.1,pulse,40,20,NaN,NaN,pinp,1
208.166666666656,pulse,41,20,NaN,NaN,pinp,1
531.966666666662,pulse,41,20,NaN,NaN,pinp,1
1683.83333333333,pulse,41,20,NaN,NaN,pinp,1
-524.133333333339,pulse,42,20,NaN,NaN,pinp,1
-85.4666666666759,pulse,42,20,NaN,NaN,pinp,1
140.633333333327,pulse,42,20,NaN,NaN,pinp,1
1391.06666666666,pulse,42,20,NaN,NaN,pinp,1
1421.79999999999,pulse,42,20,NaN,NaN,pinp,1
1424.93333333333,pulse,42,20,NaN,NaN,pinp,1
1673.83333333332,pulse,42,20,NaN,NaN,pinp,1
1681.29999999999,pulse,42,20,NaN,NaN,pinp,1
-528.800000000004,pulse,43,20,NaN,NaN,pinp,1
-521.333333333331,pulse,43,20,NaN,NaN,pinp,1
-185.233333333329,pulse,43,20,NaN,NaN,pinp,1
317.400000000006,pulse,43,20,NaN,NaN,pinp,1
767.099999999999,pulse,43,20,NaN,NaN,pinp,1
778.400000000005,pulse,43,20,NaN,NaN,pinp,1
815.233333333339,pulse,43,20,NaN,NaN,pinp,1
1020.23333333334,pulse,43,20,NaN,NaN,pinp,1
1352.83333333334,pulse,43,20,NaN,NaN,pinp,1
1397.43333333334,pulse,43,20,NaN,NaN,pinp,1
1420.20000000001,pulse,43,20,NaN,NaN,pinp,1
-180.000000000007,pulse,44,20,NaN,NaN,pinp,1
-101.533333333336,pulse,44,20,NaN,NaN,pinp,1
-67.0666666666762,pulse,44,20,NaN,NaN,pinp,1
161.333333333317,pulse,44,20,NaN,NaN,pinp,1
166.499999999985,pulse,44,20,NaN,NaN,pinp,1
202.133333333322,pulse,44,20,NaN,NaN,pinp,1
825.833333333321,pulse,44,20,NaN,NaN,pinp,1
1194.2,pulse,44,20,NaN,NaN,pinp,1
1758.9,pulse,44,20,NaN,NaN,pinp,1
-427.700000000002,pulse,45,20,NaN,NaN,pinp,1
226.699999999994,pulse,45,20,NaN,NaN,pinp,1
320.166666666665,pulse,45,20,NaN,NaN,pinp,1
541.899999999998,pulse,45,20,NaN,NaN,pinp,1
664.799999999985,pulse,45,20,NaN,NaN,pinp,1
895.799999999994,pulse,45,20,NaN,NaN,pinp,1
1323.1,pulse,45,20,NaN,NaN,pinp,1
1327.49999999999,pulse,45,20,NaN,NaN,pinp,1
1421.03333333333,pulse,45,20,NaN,NaN,pinp,1
1744.53333333332,pulse,45,20,NaN,NaN,pinp,1
-447.400000000016,pulse,46,20,NaN,NaN,pinp,1
-365.133333333347,pulse,46,20,NaN,NaN,pinp,1
541.799999999981,pulse,46,20,NaN,NaN,pinp,1
1463.06666666665,pulse,46,20,NaN,NaN,pinp,1
1504.13333333331,pulse,46,20,NaN,NaN,pinp,1
-354.033333333334,pulse,47,20,NaN,NaN,pinp,1
125.833333333333,pulse,47,20,NaN,NaN,pinp,1
237.333333333339,pulse,47,20,NaN,NaN,pinp,1
340.266666666665,pulse,47,20,NaN,NaN,pinp,1
437.066666666666,pulse,47,20,NaN,NaN,pinp,1
968.433333333337,pulse,47,20,NaN,NaN,pinp,1
1340.50000000001,pulse,47,20,NaN,NaN,pinp,1
1439.76666666667,pulse,47,20,NaN,NaN,pinp,1
1748.7,pulse,47,20,NaN,NaN,pinp,1
-464.633333333339,pulse,48,20,NaN,NaN,pinp,1
-203.53333333334,pulse,48,20,NaN,NaN,pinp,1
93.4666666666715,pulse,48,20,NaN,NaN,pinp,1
173.233333333329,pulse,48,20,NaN,NaN,pinp,1
235.833333333332,pulse,48,20,NaN,NaN,pinp,1
434.83333333333,pulse,48,20,NaN,NaN,pinp,1
1149.06666666667,pulse,48,20,NaN,NaN,pinp,1
1376.56666666666,pulse,48,20,NaN,NaN,pinp,1
1761.96666666667,pulse,48,20,NaN,NaN,pinp,1
1792.06666666667,pulse,48,20,NaN,NaN,pinp,1
-446.200000000005,pulse,49,20,NaN,NaN,pinp,1
-416.1,pulse,49,20,NaN,NaN,pinp,1
-246.066666666678,pulse,49,20,NaN,NaN,pinp,1
-158.799999999999,pulse,49,20,NaN,NaN,pinp,1
-76.2,pulse,49,20,NaN,NaN,pinp,1
97.0666666666631,pulse,49,20,NaN,NaN,pinp,1
136.233333333323,pulse,49,20,NaN,NaN,pinp,1
903.366666666656,pulse,49,20,NaN,NaN,pinp,1
930.733333333322,pulse,49,20,NaN,NaN,pinp,1
1039.09999999999,pulse,49,20,NaN,NaN,pinp,1
1056.46666666667,pulse,49,20,NaN,NaN,pinp,1
1398.63333333332,pulse,49,20,NaN,NaN,pinp,1
1495.63333333333,pulse,49,20,NaN,NaN,pinp,1
-182.766666666666,pulse,50,20,NaN,NaN,pinp,1
104.500000000002,pulse,50,20,NaN,NaN,pinp,1
200.966666666659,pulse,50,20,NaN,NaN,pinp,1
1143.83333333333,pulse,50,20,NaN,NaN,pinp,1
1191.50000000001,pulse,50,20,NaN,NaN,pinp,1
1216.5,pulse,50,20,NaN,NaN,pinp,1
-253.699999999995,train,1,10,100,10,pinp,1
-110.566666666656,train,1,10,100,10,pinp,1
-4.93333333332657,train,1,10,100,10,pinp,1
456.433333333337,train,1,10,100,10,pinp,1
461.933333333334,train,1,10,100,10,pinp,1
470.56666666667,train,1,10,100,10,pinp,1
544.966666666667,train,1,10,100,10,pinp,1
1274.70000000001,train,1,10,100,10,pinp,1
-336.13333333335,train,2,10,100,10,pinp,1
72.59999999998,train,2,10,100,10,pinp,1
783.699999999982,train,2,10,100,10,pinp,1
1000.76666666665,train,2,10,100,10,pinp,1
1535.49999999998,train,2,10,100,10,pinp,1
-242.166666666677,train,3,10,100,10,pinp,1
-168.666666666681,train,3,10,100,10,pinp,1
